id,category,name,brand,department,distribution_center_id,cost,retail_price
60,Tops & Tees,Madison Marcus Women's Magnetic Woven Lace Blouse,Madison,Women,10,151.45,258
61,Tops & Tees,Calvin Klein Women's Plus-Size Wmn Drape Front Top,Calvin Klein,Women,3,36.9,69.5
62,Tops & Tees,Calvin Klein Women's Printed Blouse,Calvin Klein,Women,3,36,69.5
63,Tops & Tees,Joie Women's Peterson Blouse,Joie,Women,2,115.02,208
64,Tops & Tees,Chaus Women's Color Wash 3/4 Sleeve Peasant Top,Chaus,Women,5,26.85,46.7
65,Tops & Tees,Alternative Women's Fern Baseball Tee,Alternative,Women,2,27.89,48
66,Tops & Tees,Plenty by Tracy Reese Women's Fly Away Tank,Plenty by Tracy Reese,Women,1,105.47,188
67,Tops & Tees,D.E.P.T. Women's Metallic Lace Top,D.E.P.T.,Women,9,46.99,89
68,Tops & Tees,Seven7 Women's Kimono Sleeve Dolman Top,Seven7,Women,1,24.6,44
69,Tops & Tees,Vince Camuto Women's Batwing Sleeve Geo Blouse,Vince Camuto,Women,1,50.89,99
70,Tops & Tees,LnA Women's Beach Raglan Sweater,LNA,Women,1,56.92,99
71,Tops & Tees,Plenty by Tracy Reese Women's Easy Shirt,Plenty by Tracy Reese,Women,1,90.53,158
72,Tops & Tees,Seven7 Women's Back V-Neck Dolman Top,Seven7,Women,1,24.11,44
73,Tops & Tees,Splendid Women's Colorblock Tank,Splendid,Women,10,49.46,88
74,Tops & Tees,Splendid Women's Lace Up Henley Top,Splendid,Women,10,40.79,78
75,Tops & Tees,Isaac Mizrahi Women's Wendy Peter Pan Collar Blouse,Isaac Mizrahi Jeans,Women,2,42.93,79.5
76,Tops & Tees,Kenneth Cole Women's Pleated Front Tux Top,Kenneth Cole,Women,6,43.17,79.5
77,Tops & Tees,Patterson J. Kincaid Women's Claire Tunic,Patterson J. Kincaid,Women,5,94.8,158
78,Tops & Tees,Splendid Women's Boxy Pocket Top,Splendid,Women,10,41.04,72
79,Tops & Tees,Calvin Klein Women's Hi-Low Tee,Calvin Klein,Women,3,26.09,49.5
80,Tops & Tees,Democracy Women's French Terry Top with Contrast Woven Shoulder and Laser Cut Design,Democracy,Women,2,29.43,54
81,Tops & Tees,Vince Camuto Women's Button Down Leopard Blouse,Vince Camuto,Women,1,49.31,89
82,Tops & Tees,Three Dots Women's Boxy Top,Three Dots,Women,4,42.67,75
83,Tops & Tees,BCBGMAXAZRIA Women's Clement Key Hole Top,BCBGMAXAZRIA,Women,3,112.27,198
84,Tops & Tees,Calvin Klein Women's Rib Knit Combo Blouse,Calvin Klein,Women,3,39.61,69.5
85,Tops & Tees,BCBGeneration Women's Contrast Twist Front Shirt,BCBGeneration,Women,8,39.33,69.99
86,Tops & Tees,Lucky Brand Women's Plus-Size Paisley Fux Wrap Top,Lucky Brand,Women,5,33.32,59.5
87,Tops & Tees,Calvin Klein Women's Printed Drape Top,Calvin Klein,Women,3,35.28,59.5
88,Tops & Tees,Vince Camuto Women's 3/4 Sleeve Star Wrap Top,Vince Camuto,Women,1,30.38,59
89,Tops & Tees,Allegra K Ladies Stars Skull Pattern Stretchy Scoop Neck Casual Tunic Shirt Black Gray L,Allegra K,Women,9,5.85,11.12
90,Tops & Tees,Wilt Women's Long Sleeve Back Slant,Wilt,Women,6,59.03,114.4
91,Tops & Tees,aryn K Women's Crew Neck Sweater,Aryn K,Women,2,35.51,66
92,Tops & Tees,Chaus Women's Jaspe Knit Solid 3/4 Sleeve Cowl Neck Top,Chaus,Women,5,31.98,59
93,Tops & Tees,2B Diedra Woven Strap Tank,2b by bebe,Women,5,16.92,29.95
94,Tops & Tees,2B Allison Open Back Tank Top,2b by bebe,Women,5,15.66,29.95
95,Tops & Tees,Bailey 44 Women's Thin Lizzy Top,Bailey 44,Women,6,65.46,121
96,Tops & Tees,BCBGeneration Women's Blue Bra Strap Cami,BCBGeneration,Women,8,37.88,68
97,Tops & Tees,aryn K Women's Cable Knit 2 Tone Sweater,Aryn K,Women,2,35.14,64
98,Tops & Tees,Patty Women Cowl Neck Button Embellished Ruched Blouse Top,Patty,Women,1,21.71,39.99
99,Tops & Tees,Blue Juice Women's Native Geo V-Neck Top,Blue Juice,Women,1,54.91,96
100,Tops & Tees,Annalee + Hope Women's Perfect Poncho,Annalee + Hope,Women,9,23.47,38.99
101,Tops & Tees,2B Chrystal Hi Low Shadow Stripe Top,2b by bebe,Women,5,12.23,22.95
102,Tops & Tees,US Polo Assn. Juniors Solid Polo With Small Pony,U.S. Polo Assn.,Women,7,13.12,25
103,Tops & Tees,Three Dots Red Women's 3/4 Sleeve British Tee,Three Dots,Women,4,28.67,54
104,Tops & Tees,Plenty by Tracy Reese Women's Open Placket Shirt,Plenty by Tracy Reese,Women,1,105.93,198
105,Tops & Tees,I Heart Daryl - Walking Dead Sheer Women's T-shirt,Walking Dead,Women,8,15.76,26.99
106,Tops & Tees,Calvin Klein Women's Peasant Blouse,Calvin Klein,Women,3,42.85,79.5
107,Tops & Tees,Anne Klein Women's Petite Long Sleeve Drape Neck Top,Anne Klein,Women,2,31.8,59
108,Tops & Tees,Next Level Ladies Soft Long-Sleeve Thermal,Next Level,Women,6,12.83,23.99
109,Tops & Tees,YogaColors Womens Emoticon Flowy Scoop Neck Tank Top,YogaColors,Women,2,7.26,12.99
110,Tops & Tees,Neon Buddha Women's Plus Size Twist Neck Long Sleeve Tee,Neon Buddha,Women,1,26.3,50
111,Tops & Tees,Mango Women's Printed T-Shirt With Bows - Colibri-N,MANGO,Women,9,13.34,24.99
112,Tops & Tees,Curve Appeal Missy Cotton Round Neck Blouse,Curve Appeal,Women,8,9.94,17.5
113,Tops & Tees,YogaColors Crystal Boatneck Dolman Sleeve Blouse Jersey Tee Up to Plus Size,YogaColors,Women,2,8.14,13.99
114,Tops & Tees,Carhartt Women's Midweight Flannel Button Front Shirt,Carhartt,Women,3,23.24,44.95
115,Tops & Tees,Patty Women Stunning 2-in-1 Hoodie Casual Blouse Top,Patty,Women,1,24.65,44.99
116,Tops & Tees,Nollie Womens Winterlite Crew Print Shirt,NOLLIE,Women,2,13.3,24.5
117,Tops & Tees,Calvin Klein Women's Printed Cowl Neck Shirt,Calvin Klein,Women,3,23.27,39.5
118,Tops & Tees,Kenneth Cole Women's 3/4 Sleeve Tiered Top,Kenneth Cole,Women,6,25.47,46.22
119,Tops & Tees,Sugarlips Seamless Rib Tank Top 409,Sugarlips,Women,6,8.12,13.95
120,Tops & Tees,Allegra K Lady Batwing Sleeve Button Decor V Neck Tunic Blouse Dark Gray Size L,Allegra K,Women,9,6.69,12.99
121,Tops & Tees,Bella Ladies 3.7 oz. Long-Sleeve Flowy Off Shoulder T-Shirt,Bella,Women,4,13.96,25.06
122,Tops & Tees,Bella V-neck Sheer L/S Longer-Length Tee Comes in Many Colors,Bella,Women,4,13.94,26
123,Tops & Tees,WeSC Women's Loui Shirt,WESC,Women,7,46.64,88
124,Tops & Tees,Allegra K Woman Black Long Sleeve Skull Printed Stretch Pullover Shirt S,Allegra K,Women,9,5.26,9.98
125,Tops & Tees,Patty Women Stunning Trimmed Boat Neck Long Sleeve Blouse Knit Top,Patty,Women,1,17.7,33.98
126,Tops & Tees,Columbia Women's Bonehead Short Sleeve Fishing Shirt,Columbia,Women,6,26.05,44.99
127,Tops & Tees,Columbia Women's Bahama Long Sleeve Shirt,Columbia,Women,6,25.06,44.99
128,Tops & Tees,Patty Women Trendy Diagonal Stripe Cowl Neck Long Sleeve Blouse Top,Patty,Women,1,18.38,33.98
129,Tops & Tees,Woman Within Plus Size Top 2-in-1 t-shirt with lace trim,Woman Within,Women,5,16.25,29.99
130,Tops & Tees,Allegra K Ladies Boat Neck Button Detail Autumn Shirt Fuchsia M,Allegra K,Women,9,6.72,12.4
131,Tops & Tees,Roxy Women's Get Me By-Hawaii-SC Scoop Neck T-Shirt Pink,Roxy,Women,2,10.48,17.97
132,Tops & Tees,Asics Women's Core Long Sleeve Shirt,ASICS,Women,1,15.48,30
133,Tops & Tees,Columbia Sportswear Women's Bonehead Long Sleeve Shirt,Columbia,Women,6,25.65,50
134,Tops & Tees,Fox Womens Juniors Missfire Crew Neck Tee,Fox,Women,6,12.96,22.5
135,Tops & Tees,Plus size Floral Lace Sleeve Top Black,eVogues Apparel,Women,5,18.51,32.99
136,Tops & Tees,Bella Womens Andrea Sheer Rib Long Sleeve Longer-Length V Neck T Shirt. B8750,Bella,Women,4,17,29.99
137,Tops & Tees,YogaColors Crystal Flowy Raglan Dolman Scoop Neck Tee Top,YogaColors,Women,2,7.24,12.99
138,Tops & Tees,Hot Chillys Women's Peach Skins Solid T-Neck Shirt,Hot Chillys,Women,3,21.44,40
139,Tops & Tees,allen allen Women's Rugby Stripe Long Sleeve Thumbhole Tee,Allen Allen,Women,7,31.55,58
140,Tops & Tees,Hanes 5680 Ladies 5 oz. ComfortSoft Cotton T-Shirt,Hanes,Women,3,7.11,12.99
141,Tops & Tees,Allegra K Woman Dotted Split Neck Short Sleeve Blouse Tops Pastel M,Allegra K,Women,9,4.21,7.14
142,Tops & Tees,YogaColors Grey Crystal Boatneck 3/4 Sleeve Longer Length Jersey Tee,YogaColors,Women,2,7.06,11.99
143,Tops & Tees,LAT 3588 Womens Ringspun Long-Sleeve T-Shirt,LAT Sportswear,Women,2,15.98,29.99
144,Tops & Tees,Bella Ladies Irene Long-Sleeve Thermal T-Shirt. B8500,Bella,Women,4,13.78,24.69
145,Tops & Tees,Bella Lightweight Relaxed Long Sleeve Dolman Top,Bella,Women,4,16.43,29.99
146,Tops & Tees,Allegra K Woman Beige Black Scoop Neck Dotted Shirred Waist Dress XS w Belt,Allegra K,Women,9,5.68,9.32
147,Tops & Tees,Ed Garments Women's Wrinkle Free Open Neck 3/4 Sleeve Poplin Blouse. 5040,Ed Garments,Women,7,16.98,30.99
148,Tops & Tees,Alternative Ladies' Rib-Sleeve Scoopneck Long-Sleeve T-Shirt with Thumbholes,Alternative,Women,2,27.09,49.99
149,Tops & Tees,Plus Size Smocked Empire Waist Kimono Top,eVogues Apparel,Women,5,16.1,29.99
150,Tops & Tees,Next Level 6640 NL Lady CVC Deep V Tee,Next Level,Women,6,11.59,20.99
151,Tops & Tees,Myne Women's Demi Blouse,Myne,Women,3,95.98,172
152,Tops & Tees,Curve Appeal Missy Cotton Peasant Top,Curve Appeal,Women,8,8.45,14.99
153,Tops & Tees,Women's UA EVO ColdGearÂ® Longsleeve Mock Tops by Under Armour,Under Armour,Women,10,26.34,46.45
154,Tops & Tees,Ecko Women's Scrubs Brandy Top,Ecko Red,Women,1,14.07,25
155,Tops & Tees,Ralph Lauren Sport Women Lightweight V-Neck T-Shirt,Ralph Lauren,Women,10,16.7,29.98
156,Tops & Tees,Devon & Jones Pink Ladies 3/4 Sleeve Poplin Blouse. DP625W,Devon & Jones,Women,7,21.59,39.99
157,Tops & Tees,Allegra K Women Leopard Print Front Scoop Neck Bat Wing Sleeve Shirt White S,Allegra K,Women,9,6.59,12.89
158,Tops & Tees,Plain Long Spaghetti Strap Tank Top Camis Basic Camisole Cotton,Hollywood Star Fashion,Women,3,4.59,8.35
159,Tops & Tees,Columbia Women's Mercury Maven II Vest,Columbia,Women,6,52.45,97.5
160,Tops & Tees,Allegra K Ladies Button Detail V Neck Close-fitting Blouse Top New Dark Gray,Allegra K,Women,9,6.41,11.01
161,Tops & Tees,Signiture Womens Black Studded Cross Vest Top,Signiture,Women,2,7.58,13.99
162,Tops & Tees,Patty Women Smart V Neck Ruched Long Sleeve Blouse Top,Patty,Women,1,20.08,34.99
163,Tops & Tees,Patty Women Sexy Keyhole Long Sleeve Blouse Top,Patty,Women,1,18.63,32.98
164,Tops & Tees,Allegra K Lady Round Neck Batwing Sleeve Applique Shirt Top New,Allegra K,Women,9,7.89,13.31
165,Tops & Tees,Allegra K Ladies Beige Scoop Neck Half Sleeves Lace Shirt M w Tank Top,Allegra K,Women,9,7.3,12.13
166,Tops & Tees,Allegra K Woman Stripes Dolman Sleeve Elastic Hem Blouse Black White Top S,Allegra K,Women,9,5.27,9.79
167,Tops & Tees,Patty Women Sexy Cowl Neck Ruffle Sleeve Casual Blouse Top,Patty,Women,1,16.61,28.98
168,Tops & Tees,US Polo Assn. Juniors Long Sleeve Knit Shirt With Lurex,U.S. Polo Assn.,Women,7,13.65,25
169,Tops & Tees,Ralph Lauren Sport Women Lightweight Pony Logo V-neck Long Sleeve T-shirt,Ralph Lauren,Women,10,19.89,32.99
170,Tops & Tees,Ralph Lauren Sport Women Lightweight V-Neck T-Shirt,Ralph Lauren,Women,10,15.81,27.99
171,Tops & Tees,Long Ribbed Rib Tank Top Cotton Stretch Quality Tunic Basic,Hollywood Star Fashion,Women,3,4.71,8.5
172,Tops & Tees,Patty Women Trendy Stripe / Solid Off shoulder Long Sleeve Casual Blouse Top,Patty,Women,1,17.56,28.98
173,Tops & Tees,Columbia Sportswear Women's Bahama Short Sleeve Shirt,Columbia,Women,6,29.04,55
174,Tops & Tees,Chestnut Hill Ladies Performance Plus Long Sleeve Twill. CH605W,Chestnut Hill,Women,7,15.68,29.99
175,Tops & Tees,Woman Within Plus Size Top sweatshirt in cozy light sherpa fleece,Woman Within,Women,5,14.07,24.99
176,Tops & Tees,Allegra K Woman Stripes Long Sleeve Stand Collar Shirt Tops Black White M,Allegra K,Women,9,6.07,11.49
177,Tops & Tees,Devon & Jones Women's Long Sleeve Five-Star Performance Twill Button Down Dress Shirt D555W,Devon & Jones,Women,7,9.56,15.99
178,Tops & Tees,Patty Women Stylish Off Shoulder Cross Tied Long Sleeve Top,Patty,Women,1,22.6,37.98
179,Tops & Tees,Southpole Junior's Basic Solid Polo,Southpole,Women,1,11.03,19.99
180,Tops & Tees,Patty Women Smart Checkers / Solid Bolero Style Long Sleeve Knit Blouse Top,Patty,Women,1,18.93,31.98
181,Tops & Tees,Devon & Jones Blue Ladies' 100% Cotton Savile Patterned Dress Shirt. D600W,Devon & Jones,Women,7,17.03,29.99
182,Tops & Tees,Hanes Women's Relax Fit Jersey V-Neck Tee 5.2 oz # 5780,Hanes,Women,3,5.66,10.18
183,Tops & Tees,Hollister Womens Ribbed Tank Top Sleeveless Lace Trim Racer Back,Hollister,Women,10,11.23,19.99
184,Tops & Tees,Allegra K Ladies Boat Neck Long Sleeve Pullover Shirt Top New,Allegra K,Women,9,4.85,8.82
185,Tops & Tees,UltraClub Ladies Classic Wrinkle-Free Long-Sleeve Oxford Shirt. 8990,UltraClub,Women,1,26.83,43.99
186,Tops & Tees,Patty Women Unique Corset Embroidered Back Cap Sleeve Boho Clubwear Blouse Top,Patty,Women,1,15.84,27.98
187,Tops & Tees,Woolrich Women's Shelby Long Sleeve Henley Shirt,Woolrich,Women,8,14.15,25
188,Tops & Tees,2 or 4 Pack: Zenana Cami Sets Many Colors Available 22,Zenana,Women,2,11.85,19.95
189,Tops & Tees,Dickies Girl Juniors Solid Cap Sleeve V-Neck Tee,Dickies Girl,Women,10,14.12,25
190,Tops & Tees,Dickies Girl Juniors Solid Cap Sleeve Crew Neck Tee,Dickies Girl,Women,10,13.47,25
191,Tops & Tees,Asics Women's Core Short Sleeve Shirt,ASICS,Women,1,13.62,24.99
192,Tops & Tees,Hanes Ladies Moisture Wicking Performance T-Shirt,Hanes,Women,3,11.37,19.99
193,Tops & Tees,FEA Juniors Beatles Stripes Standing Group Tissue Tee,FEA,Women,6,10.39,19.99
194,Tops & Tees,Plus Size Sexy RED Black Lace Corset Top,eVogues Apparel,Women,5,16.74,27.99
195,Tops & Tees,Hot Chillys Women's Peach Skins Solid Crewneck Top,Hot Chillys,Women,3,22.88,40
196,Tops & Tees,Women's 17 inches camisole tank top with built-in bra and adjustable straps,High Style,Women,2,6.37,11.99
197,Tops & Tees,Bella Ladies 4 oz. Sheer Rib Long-Sleeve Crew - WHITE - 2XL,Bella,Women,4,20.87,39.99
198,Tops & Tees,US Polo Assn. Juniors Solid Polo With Tonal Big Pony,U.S. Polo Assn.,Women,7,13.8,25
199,Tops & Tees,Allegra K Woman Boat Neck Rabbit Decor Hollow Laced Shoulder Light Pink Shirt M,Allegra K,Women,9,7.81,12.93
200,Tops & Tees,Women's UA EVO ColdGearÂ® Hoody Tops by Under Armour,Under Armour,Women,10,25.51,44.99
201,Tops & Tees,Allegra K Woman Batwing Sleeve Cat Print Stretchy Loose Shirt Black Beige M,Allegra K,Women,9,6.76,12.93
202,Tops & Tees,Allegra K Woman Leopard Print Dolman Sleeve Tunic Shirt Top,Allegra K,Women,9,6.24,11.41
203,Tops & Tees,B4070 Bella Ladies' 5.8 oz. 2x1 Rib Racerback Longer-Length Tank,Bella,Women,4,11.83,19.99
204,Tops & Tees,Alternative AA4070 Ladies' 3.5 oz. Long-Sleeve Crew,Alternative,Women,2,17.36,29.99
205,Tops & Tees,Tresics Femme Long Sleeve V-Neck Tops,Tresics,Women,3,5.38,9.9
206,Tops & Tees,YogaColors Fine Jersey Short Sleeve Crystal Crew Neck T-Shirt Dress RSA2314,YogaColors,Women,2,6.53,11.99
207,Tops & Tees,Allegra K Women Off Round Neck Mesh Decor Sleeve Autumn Shirt White S,Allegra K,Women,9,8.26,13.88
208,Tops & Tees,Devon & Jones D650W Ladies Noble Pima Oxford,Devon & Jones,Women,7,29.74,48.99
209,Tops & Tees,Patty Women Stunning Scoop Neck Ruched Gathered Long Sleeve Blouse Top,Patty,Women,1,17.65,32.99
210,Tops & Tees,Allegra K Woman 2-Fer Bracelet Sleeve Ruched Front Blouse Pink White M,Allegra K,Women,9,9.06,15
211,Tops & Tees,Patty Women Sexy V Neck Ruched Bust Long Sleeve Blouse Top,Patty,Women,1,17.27,31.98
212,Tops & Tees,Allegra K Lady Scoop Neck Long Sleeves Blk Asymmetric Hem Shirt S,Allegra K,Women,9,6.25,11.16
213,Tops & Tees,Next Level Apparel Ladies Extreme Soft V-Neck T-Shirt. 3400L,Next Level,Women,6,7.71,13.77
214,Tops & Tees,Patty Women Unique Cut Out Shoulder Bell Sleeve Boho Blouse Top,Patty,Women,1,17.3,31.98
215,Tops & Tees,Harriton Women's Long Sleeve Twill Button Down Dress Shirt with Stain-Release M500W,Harriton,Women,1,18.61,35.99
216,Tops & Tees,New Balance Women's Tempo Long Sleeve Tee,New Balance,Women,3,16.29,30
217,Tops & Tees,Smartwool Women's Midweight Pattern Crew,SmartWool,Women,2,64.67,119.99
218,Tops & Tees,Allegra K Woman Buttons Decor Front Boat Neck Ribbed Trim Spring Top Fuchsia XS,Allegra K,Women,9,5.47,10.62
219,Tops & Tees,Plus size Drop Shoulder Top Black,eVogues Apparel,Women,5,16.43,29.99
220,Tops & Tees,Hanes 7 oz Cotton Pique Women's Polo Shirt. 035,Hanes,Women,3,15.18,25.99
221,Tops & Tees,Allegra K Woman Puff Sleeve Scoop Neck Bowknot Adorn Shirt Solid Red M,Allegra K,Women,9,6.63,11.01
222,Tops & Tees,Patty Women Fitted One shoulder Ruched Arm Long Sleeve Blouse Top,Patty,Women,1,14.98,28.98
223,Tops & Tees,The Hunger Games Flaming Mockingjay Girls Womens Juniors T-Shirt,The Hunger Games,Women,7,10.83,19.95
224,Tops & Tees,Carhartt Women's Midweight Work-Dry Thermal Crewneck Top,Carhartt,Women,3,27.07,47
225,Tops & Tees,Fox Juniors Numbers Long Sleeve Henley Shirt,Fox,Women,6,18.63,34.5
226,Tops & Tees,Allegra K Woman Sheer Long Sleeve Doll Collar Blouse Shirt Red M,Allegra K,Women,9,6.23,10.76
227,Tops & Tees,Allegra K Women Long Bat Wing Sleeve Pullover Loose Shirt Black White L,Allegra K,Women,9,6.89,11.52
228,Tops & Tees,Patty Women Fabulous Plunge Ruched Long Sleeve Blouse Top,Patty,Women,1,18.9,32.98
229,Tops & Tees,Hurley Juniors Wilson Long Sleeve Shirt,Hurley,Women,1,25.51,45
230,Tops & Tees,Bella Ladies Stitched Long Sleeve Boatneck T-Shirt -,Bella,Women,4,15.38,29.99
231,Tops & Tees,Alki'i Premium 3-pack Spaghetti Strap Tank Top Cami Set,Alki'i,Women,1,12.87,25
232,Tops & Tees,Devon & Jones - Ladies' Pima Pique Long-Sleeve Polo,Devon & Jones,Women,7,27.89,49.99
233,Tops & Tees,Eddie Bauer Favorite Long-Sleeve Crewneck T-Shirt,Eddie Bauer,Women,2,15.96,27.95
234,Tops & Tees,Carhartt Women's Essential Waffle Henley Shirt,Carhartt,Women,3,22.31,40.72
235,Tops & Tees,Patty Women Long Sleeves Ruched Turtleneck Tunic Blouse Top,Patty,Women,1,23.35,39.99
236,Tops & Tees,Regular Length Spaghetti Strap Tank Top Camis Basic Camisole Cotton Plain Solid Color,Hollywood Star Fashion,Women,3,4.87,7.99
237,Tops & Tees,Patty Women Sexy Convertible Long Sleeve Casual Wrap Blouse Top,Patty,Women,1,19.68,33.99
238,Tops & Tees,Plus Size Sexy BLACK O-Ring Necklace Sleeveless Top,eVogues Apparel,Women,5,19.43,32.99
239,Tops & Tees,Chestnut Hill Ladies Cape Cod Stripe Pima Poplin. CH595W,Chestnut Hill,Women,7,18.97,33.99
240,Tops & Tees,Bella Ladies 3.7 oz. Flowy Draped Sleeve Dolman T-Shirt - WHITE - S,Bella,Women,4,15.67,25.99
241,Tops & Tees,Allegra K Cowl Neck Long Sleve Pullover Khaki Shirt S w Belt for Women,Allegra K,Women,9,7.67,12.79
242,Tops & Tees,Lucky Brand Women's Plus-Size Camille Top,Lucky Brand,Women,5,34.81,59.5
